trade_date,stock_name,north_money
20230103,A-H,-6.45
20230104,A-H,18.442
20230105,A-H,127.5333
20230106,A-H,60.662600000000005
20230109,A-H,77.003
20230110,A-H,58.0124
20230111,A-H,76.1421
20230112,A-H,95.4478
20230113,A-H,133.3612
20230116,A-H,158.42690000000002
20230117,A-H,92.8797
20230118,A-H,47.3539
20230119,A-H,93.9331
20230120,A-H,92.56459999999998
20230130,A-H,186.1432
20230131,A-H,101.44149999999999
20230201,A-H,69.7374
20230202,A-H,26.9348
20230203,A-H,-42.463
20230206,A-H,-5.434
20230207,A-H,-38.6092
20230208,A-H,-13.889100000000001
20230209,A-H,121.0055
20230210,A-H,-33.7427
20230213,A-H,6.922999999999999
20230214,A-H,5.9876
20230215,A-H,-18.6351
20230216,A-H,67.943
20230217,A-H,20.294
20230220,A-H,60.032799999999995
20230221,A-H,18.5403
20230222,A-H,-47.342299999999994
20230223,A-H,-21.503
20230224,A-H,-50.971000000000004
20230227,A-H,-19.188299999999998
20230228,A-H,-13.0403
20230301,A-H,70.1031
20230302,A-H,7.6549000000000005
20230303,A-H,20.6633
20230306,A-H,0.758
20230307,A-H,-1.8779
20230308,A-H,-10.1427
20230309,A-H,-41.7604
20230310,A-H,-52.9583
20230313,A-H,27.701900000000002
20230314,A-H,7.5472
20230315,A-H,32.861399999999996
20230316,A-H,7.8736
20230317,A-H,71.8259
20230320,A-H,16.0245
20230321,A-H,42.95140000000001
20230322,A-H,4.7860000000000005
20230323,A-H,48.083
20230324,A-H,-2.3417
20230327,A-H,-6.9414
20230328,A-H,3.5447
20230329,A-H,43.2294
20230330,A-H,48.071099999999994
20230331,A-H,16.7436
20230403,A-H,5.7865
20230404,A-H,-36.5078
20230406,A-H,
20230411,A-H,26.264
20230412,A-H,-42.081199999999995
20230413,A-H,-0.8687999999999999
20230414,A-H,64.2429
20230417,A-H,19.1803
20230418,A-H,22.6448
20230419,A-H,-9.1571
20230420,A-H,46.9084
20230421,A-H,-76.1925
20230424,A-H,-38.2772
20230425,A-H,-49.172200000000004
20230426,A-H,7.513
20230427,A-H,-1.6644999999999999
20230428,A-H,15.853800000000001
20230504,A-H,-14.3897
20230505,A-H,6.332000000000001
20230508,A-H,20.494
20230509,A-H,9.8346
20230510,A-H,55.713699999999996
20230511,A-H,0.2937
20230512,A-H,13.260399999999999
20230515,A-H,40.8483
20230516,A-H,-34.0079
20230517,A-H,16.8657
20230518,A-H,-18.3592
20230519,A-H,-22.2557
20230522,A-H,41.3191
20230523,A-H,-79.7615
20230524,A-H,-44.8228
20230525,A-H,-95.6153
20230529,A-H,14.368699999999999
20230530,A-H,6.494800000000001
20230531,A-H,-37.981
20230601,A-H,-18.0156
20230602,A-H,85.344
20230605,A-H,-12.1482
20230606,A-H,-10.7745
20230607,A-H,25.109899999999996
20230608,A-H,29.515
20230609,A-H,-14.4091
20230612,A-H,-29.296100000000003
20230613,A-H,-2.3147
20230614,A-H,-21.9439
20230615,A-H,92.0092
20230616,A-H,105.45540000000001
20230619,A-H,-14.4652
20230620,A-H,17.4191
20230621,A-H,-6.4124
20230626,A-H,21.1721
20230627,A-H,-25.961199999999998
20230628,A-H,-40.716300000000004
20230629,A-H,-76.0604
20230630,A-H,36.7525
20230703,A-H,26.8538
20230704,A-H,-19.4951
20230705,A-H,-40.350300000000004
20230706,A-H,-13.4395
20230707,A-H,-45.17229999999999
20230710,A-H,12.302999999999999
20230711,A-H,34.8909
20230712,A-H,4.9456
20230713,A-H,135.8464
20230714,A-H,10.4519
20230718,A-H,-87.6516
20230719,A-H,-49.3151
20230720,A-H,3.4665
20230721,A-H,58.250699999999995
20230724,A-H,-51.4256
20230725,A-H,189.8341
20230726,A-H,5.1513
20230727,A-H,37.4709
20230728,A-H,164.0298
20230731,A-H,93.46770000000001
20230801,A-H,48.5429
20230802,A-H,-50.192
20230803,A-H,5.4337
20230804,A-H,27.4204
20230807,A-H,-24.9765
20230808,A-H,-68.1455
20230809,A-H,-13.318800000000001
20230810,A-H,-25.9863
20230811,A-H,-123.375
20230814,A-H,-46.6321
20230815,A-H,-97.7342
20230816,A-H,-46.3917
20230817,A-H,-15.1854
20230818,A-H,-85.21889999999999
20230821,A-H,-64.1232
20230822,A-H,-63.7805
20230823,A-H,-104.61309999999999
20230824,A-H,32.3343
20230825,A-H,-24.0129
20230828,A-H,-82.4724
20230829,A-H,-6.8043
20230830,A-H,-24.6302
20230831,A-H,-42.9638
20230904,A-H,68.8429
20230905,A-H,-46.0912
20230906,A-H,0.4079
20230907,A-H,-70.723
20230911,A-H,22.4391
20230912,A-H,-19.7953
20230913,A-H,-65.9195
20230914,A-H,-64.18220000000001
20230915,A-H,-24.601
20230918,A-H,28.291700000000002
20230919,A-H,-24.2287
20230920,A-H,-35.3979
20230921,A-H,-43.3006
20230922,A-H,74.9289
20230925,A-H,-80.39359999999999
20230926,A-H,-62.958999999999996
20230927,A-H,18.0322
20230928,A-H,-49.9512
20231009,A-H,-74.6023
20231010,A-H,-54.712700000000005
20231011,A-H,-3.8996
20231012,A-H,66.1575
20231013,A-H,-64.3854
20231016,A-H,-64.76939999999999
20231017,A-H,-30.575
20231018,A-H,-11.6064
20231019,A-H,-117.04270000000001
20231020,A-H,-16.4622
20231024,A-H,-50.4557
20231025,A-H,-12.952
20231026,A-H,12.2675
20231027,A-H,46.680299999999995
20231030,A-H,-23.976100000000002
20231031,A-H,-47.5339
20231101,A-H,-20.8225
20231102,A-H,26.8174
20231103,A-H,71.08279999999999
20231106,A-H,52.73
20231107,A-H,-45.875699999999995
20231108,A-H,-37.1
20231109,A-H,-0.6335999999999999
20231110,A-H,-48.6412
20231113,A-H,-14.4279
20231114,A-H,-21.0929
20231115,A-H,36.2565
20231116,A-H,-21.9041
20231117,A-H,-28.5887
20231120,A-H,13.729700000000001
20231121,A-H,1.4228
20231122,A-H,-35.3855
20231123,A-H,50.5798
20231124,A-H,-61.959799999999994
20231127,A-H,3.3402
20231128,A-H,28.3446
20231129,A-H,-50.8
20231130,A-H,85.1631
20231201,A-H,-49.9727
20231204,A-H,-14.408299999999999
20231205,A-H,-75.2067
20231206,A-H,23.417600000000004
20231207,A-H,3.7316000000000003
20231208,A-H,4.5996
20231211,A-H,-32.592600000000004
20231212,A-H,-50.2393
20231213,A-H,-95.8981
20231214,A-H,34.6276
20231215,A-H,-41.65560000000001
20231218,A-H,27.269899999999996
20231219,A-H,-21.1268
20231220,A-H,-15.421700000000001
20231221,A-H,12.0282
20231222,A-H,-25.1098
20231227,A-H,56.7795
20231228,A-H,135.5843
20231229,A-H,-5.662000000000001
