trade_date,stock_name,pct_chg
20240102,贵州茅台,-2.3749
20240103,贵州茅台,0.5335
20240104,贵州茅台,-1.4758
20240105,贵州茅台,-0.3379
20240108,贵州茅台,-1.1645
20240109,贵州茅台,-0.1819
20240110,贵州茅台,0.0305
20240111,贵州茅台,0.3089
20240112,贵州茅台,-0.2132
20240115,贵州茅台,-0.1862
20240116,贵州茅台,-0.0348
20240117,贵州茅台,-3.808
20240118,贵州茅台,2.1477
20240119,贵州茅台,1.4979
20240122,贵州茅台,0.4281
20240123,贵州茅台,-1.4007
20240124,贵州茅台,0.4324
20240125,贵州茅台,0.738
20240126,贵州茅台,-0.0415
20240129,贵州茅台,0.7744
20240130,贵州茅台,-2.2424
20240131,贵州茅台,-0.5015
20240201,贵州茅台,0.319
20240202,贵州茅台,-0.8714
20240205,贵州茅台,2.131
20240206,贵州茅台,2.8215
20240207,贵州茅台,2.0877
20240208,贵州茅台,-0.2916
20240219,贵州茅台,-0.6196
20240220,贵州茅台,-1.4999
20240221,贵州茅台,2.8539
20240222,贵州茅台,0.0419
20240223,贵州茅台,-0.2497
20240226,贵州茅台,-1.1149
20240227,贵州茅台,-0.3233
20240228,贵州茅台,-0.4706
20240229,贵州茅台,0.7999
20240301,贵州茅台,-0.5864
20240304,贵州茅台,-0.5199
20240305,贵州茅台,1.1215
20240306,贵州茅台,-0.8584
20240307,贵州茅台,0.1833
20240308,贵州茅台,-0.7246
20240311,贵州茅台,1.3797
20240312,贵州茅台,2.9808
20240313,贵州茅台,-1.0057
20240314,贵州茅台,-0.6264
20240315,贵州茅台,0.0501
20240318,贵州茅台,-0.5374
20240319,贵州茅台,-0.014
20240320,贵州茅台,0.0925
20240321,贵州茅台,-0.0351
20240322,贵州茅台,-0.4476
20240325,贵州茅台,-0.7253
20240326,贵州茅台,1.2007
20240327,贵州茅台,-0.485
20240328,贵州茅台,0.0376
20240329,贵州茅台,0.074
