month,country,nt_yoy
201505,China,1.2
201506,China,1.4
201507,China,1.6
201508,China,2.0
201509,China,1.6
201510,China,1.3
201511,China,1.5
201512,China,1.6
201601,China,1.8
201602,China,2.3
201603,China,2.3
201604,China,2.3
201605,China,2.0
201606,China,1.9
201607,China,1.8
201608,China,1.3
201609,China,1.9
201610,China,2.1
201611,China,2.3
201612,China,2.1
201701,China,2.5
201702,China,0.8
201703,China,0.9
201704,China,1.2
201705,China,1.5
201706,China,1.5
201707,China,1.4
201708,China,1.8
201709,China,1.6
201710,China,1.9
201711,China,1.7
201712,China,1.8
201801,China,1.5
201802,China,2.9
201803,China,2.1
201804,China,1.8
201805,China,1.8
201806,China,1.9
201807,China,2.1
201808,China,2.3
201809,China,2.5
201810,China,2.5
201811,China,2.2
201812,China,1.9
201901,China,1.7
201902,China,1.5
201903,China,2.3
201904,China,2.5
201905,China,2.7
201906,China,2.7
201907,China,2.8
201908,China,2.8
201909,China,3.0
201910,China,3.8
201911,China,4.5
201912,China,4.5
202001,China,5.4
202002,China,5.2
202003,China,4.3
202004,China,3.3
202005,China,2.4
202006,China,2.5
202007,China,2.7
202008,China,2.4
202009,China,1.7
202010,China,0.5
202011,China,-0.5
202012,China,0.2
202101,China,-0.3
202102,China,-0.2
202103,China,0.4
202104,China,0.9
202105,China,1.3
202106,China,1.1
202107,China,1.0
202108,China,0.8
202109,China,0.7
202110,China,1.5
202111,China,2.3
202112,China,1.5
202201,China,0.9
202202,China,0.9
202203,China,1.5
202204,China,2.1
202205,China,2.1
202206,China,2.5
202207,China,2.7
202208,China,2.5
202209,China,2.8
202210,China,2.1
202211,China,1.6
202212,China,1.8
202301,China,2.1
202302,China,1.0
202303,China,0.7
202304,China,0.1
202305,China,0.2
202306,China,0.0
202307,China,-0.3
202308,China,0.1
202309,China,0.0
202310,China,-0.2
202311,China,-0.5
202312,China,-0.3
202401,China,-0.8
202402,China,0.7
202403,China,0.1
202404,China,0.3
202405,China,0.3
202406,China,0.2
202407,China,0.5
202408,China,0.6
202409,China,0.4
202410,China,0.3
202411,China,0.2
202412,China,0.1
202501,China,0.5
202502,China,-0.7
202503,China,-0.1
